Country_City                                                                                          total_rental_sales
----------------------------------------------------------------------------------------------------- ---------------------------------------
SONS INTERVIEW                                                                                                                                                                                                                                                  79.84                                   15          NC-17      2.99                                    11.99                                   Animation
SORORITY QUEEN                                                                                                                                                                                                                                                  19.88                                   12          NC-17      0.99                                    17.99                                   Foreign
SOUP WISDOM                                                                                                                                                                                                                                                     12.92                                   8           R          0.99                                    12.99                                   Family
SOUTH WAIT                                                                                                                                                                                                                                                      107.78                                  22          R          2.99                                    21.99                                   Action
SPARTACUS CHEAPER                                                                                                                                                                                                                                               60.91                                   9           NC-17      4.99                                    19.99                                   Family
SPEAKEASY DATE                                                                                                                                                                                                                                                  45.88                                   12          PG-13      2.99                                    22.99                                   Action
SPEED SUIT                                                                                                                                                                                                                                                      49.91                                   9           PG-13      4.99                                    19.99                                   Travel
SPICE SORORITY                                                                                                                                                                                                                                                  115.80                                  20          NC-17      4.99                                    22.99                                   Drama
SPIKING ELEMENT                                                                                                                                                                                                                                                 41.87                                   13          G          2.99                                    12.99                                   Classics
SPINAL ROCKY                                                                                                                                                                                                                                                    39.87                                   13          PG-13      2.99                                    12.99                                   Family
SPIRIT FLINTSTONES                                                                                                                                                                                                                                              15.85                                   15          R          0.99                                    23.99                                   Horror
SPIRITED CASUALTIES                                                                                                                                                                                                                                             19.89                                   11          PG-13      0.99                                    20.99                                   Sci-Fi
SPLASH GUMP                                                                                                                                                                                                                                                     33.86                                   14          PG         0.99                                    16.99                                   Family
SPLENDOR PATTON                                                                                                                                                                                                                                                 40.79                                   21          R          0.99                                    20.99                                   Children
SPOILERS HELLFIGHTERS                                                                                                                                                                                                                                           20.90                                   10          G          0.99                                    26.99                                   Documentary
SPY MILE                                                                                                                                                                                                                                                        94.73                                   27          PG-13      2.99                                    13.99                                   Games
SQUAD FISH                                                                                                                                                                                                                                                      27.93                                   7           PG         2.99                                    14.99                                   Sports
STAGE WORLD                                                                                                                                                                                                                                                     46.90                                   10          PG         2.99                                    19.99                                   Comedy
STAGECOACH ARMAGEDDON                                                                                                                                                                                                                                           154.74                                  26          R          4.99                                    25.99                                   Action
STALLION SUNDANCE                                                                                                                                                                                                                                               8.93                                    7           PG-13      0.99                                    23.99                                   Sci-Fi
STAMPEDE DISTURBING                                                                                                                                                                                                                                             32.86                                   14          R          0.99                                    26.99                                   Games
STAR OPERATION                                                                                                                                                                                                                                                  86.79                                   21          PG         2.99                                    9.99                                    Sports
STATE WASTELAND                                                                                                                                                                                                                                                 61.88                                   13          NC-17      2.99                                    13.99                                   Games
STEEL SANTA                                                                                                                                                                                                                                                     141.77                                  23          NC-17      4.99                                    15.99                                   Classics
STEERS ARMAGEDDON                                                                                                                                                                                                                                               85.85                                   15          PG         4.99                                    16.99                                   Sports
STEPMOM DREAM                                                                                                                                                                                                                                                   104.80                                  20          NC-17      4.99                                    9.99                                    Foreign
STING PERSONAL                                                                                                                                                                                                                                                  159.79                                  21          NC-17      4.99                                    9.99                                    New
STOCK GLASS                                                                                                                                                                                                                                                     45.86                                   14          PG         2.99                                    10.99                                   New
STONE FIRE                                                                                                                                                                                                                                                      39.89                                   11          G          0.99                                    19.99                                   Travel
STORM HAPPINESS                                                                                                                                                                                                                                                 46.71                                   29          NC-17      0.99                                    28.99                                   Animation
STORY SIDE                                                                                                                                                                                                                                                      39.72                                   28          R          0.99                                    27.99                                   Action
STRAIGHT HOURS                                                                                                                                                                                                                                                  57.80                                   20          R          0.99                                    19.99                                   Sports
STRANGELOVE DESIRE                                                                                                                                                                                                                                              86.76                                   24          NC-17      0.99                                    27.99                                   Children
STRANGER STRANGERS                                                                                                                                                                                                                                              75.89                                   11          G          4.99                                    12.99                                   Children
STRANGERS GRAFFITI                                                                                                                                                                                                                                              123.83                                  17          R          4.99                                    22.99                                   Horror
STREAK RIDGEMONT                                                                                                                                                                                                                                                24.84                                   16          PG-13      0.99                                    28.99                                   Documentary
STREETCAR INTENTIONS                                                                                                                                                                                                                                            148.75                                  25          R          4.99                                    11.99                                   Horror
STRICTLY SCARFACE                                                                                                                                                                                                                                               113.77                                  23          PG-13      2.99                                    24.99                                   Comedy
SUBMARINE BED                                                                                                                                                                                                                                                   88.85                                   15          R          4.99                                    21.99                                   Comedy
SUGAR WONKA                                                                                                                                                                                                                                                     105.83                                  17          PG         4.99                                    20.99                                   Animation
SUIT WALLS                                                                                                                                                                                                                                                      147.79                                  21          R          4.99                                    12.99                                   Games
SUMMER SCARFACE                                                                                                                                                                                                                                                 34.84                                   16          G          0.99                                    25.99                                   Classics
SUN CONFESSIONS                                                                                                                                                                                                                                                 53.75                                   25          R          0.99                                    9.99                                    Sci-Fi
SUNDANCE INVASION                                                                                                                                                                                                                                               41.81                                   19          NC-17      0.99                                    21.99                                   Children
SUNRISE LEAGUE                                                                                                                                                                                                                                                  170.76                                  24          PG-13      4.99                                    19.99                                   Animation
SUNSET RACER                                                                                                                                                                                                                                                    12.92                                   8           NC-17      0.99                                    28.99                                   Family
SUPER WYOMING                                                                                                                                                                                                                                                   86.87                                   13          PG         4.99                                    10.99                                   Family
SUPERFLY TRIP                                                                                                                                                                                                                                                   17.90                                   10          PG         0.99                                    27.99                                   Travel
SUSPECTS QUILLS                                                                                                                                                                                                                                                 133.70                                  30          PG         2.99                                    22.99                                   Action
SWARM GOLD                                                                                                                                                                                                                                                      71.73                                   27          PG-13      0.99                                    12.99                                   Horror
SWEDEN SHINING                                                                                                                                                                                                                                                  111.81                                  18          PG         4.99                                    19.99                                   Comedy
SWEET BROTHERHOOD                                                                                                                                                                                                                                               81.85                                   15          R          2.99                                    27.99                                   Travel
SWEETHEARTS SUSPECTS                                                                                                                                                                                                                                            98.71                                   29          G          0.99                                    13.99                                   Children
TALENTED HOMICIDE                                                                                                                                                                                                                                               39.71                                   29          PG         0.99                                    9.99                                    Sports
TARZAN VIDEOTAPE                                                                                                                                                                                                                                                40.92                                   8           PG-13      2.99                                    11.99                                   Horror
TAXI KICK                                                                                                                                                                                                                                                       34.83                                   17          PG-13      0.99                                    23.99                                   Music
TEEN APOLLO                                                                                                                                                                                                                                                     127.83                                  17          G          4.99                                    25.99                                   Travel
TELEGRAPH VOYAGE                                                                                                                                                                                                                                                231.73                                  27          PG         4.99                                    20.99                                   Music
TELEMARK HEARTBREAKERS                                                                                                                                                                                                                                          91.75                                   25          PG-13      2.99                                    9.99                                    Animation
TEMPLE ATTRACTION                                                                                                                                                                                                                                               70.88                                   12          PG         4.99                                    13.99                                   Horror
TENENBAUMS COMMAND                                                                                                                                                                                                                                              20.87                                   13          PG-13      0.99                                    24.99                                   Drama
TEQUILA PAST                                                                                                                                                                                                                                                    32.94                                   6           PG         4.99                                    17.99                                   Children
TERMINATOR CLUB                                                                                                                                                                                                                                                 39.94                                   6           R          4.99                                    11.99                                   Music
TEXAS WATCH                                                                                                                                                                                                                                                     5.94                                    6           NC-17      0.99                                    22.99                                   Horror
THEORY MERMAID                                                                                                                                                                                                                                                  30.88                                   11          PG-13      0.99                                    9.99                                    Animation
THIEF PELICAN                                                                                                                                                                                                                                                   117.81                                  19          PG-13      4.99                                    28.99                                   Animation
THIN SAGEBRUSH                                                                                                                                                                                                                                                  73.89                                   11          PG-13      4.99                                    9.99                                    Documentary
TIES HUNGER                                                                                                                                                                                                                                                     80.89                                   11          R          4.99                                    28.99                                   Children
TIGHTS DAWN                                                                                                                                                                                                                                                     60.74                                   26          R          0.99                                    14.99                                   Sports
TIMBERLAND SKY                                                                                                                                                                                                                                                  123.69                                  31          G          0.99                                    13.99                                   Classics
TITANIC BOONDOCK                                                                                                                                                                                                                                                154.77                                  23          R          4.99                                    18.99                                   Animation
TITANS JERK                                                                                                                                                                                                                                                     201.71                                  29          PG         4.99                                    11.99                                   Sci-Fi
TOMATOES HELLFIGHTERS                                                                                                                                                                                                                                           19.86                                   14          PG         0.99                                    23.99                                   Travel
TOMORROW HUSTLER                                                                                                                                                                                                                                                110.75                                  25          R          2.99                                    21.99                                   Classics
TOOTSIE PILOT                                                                                                                                                                                                                                                   39.85                                   15          PG         0.99                                    10.99                                   Children
TORQUE BOUND                                                                                                                                                                                                                                                    198.72                                  27          G          4.99                                    27.99                                   Drama
TOURIST PELICAN                                                                                                                                                                                                                                                 141.78                                  22          PG-13      4.99                                    18.99                                   Sports
TOWERS HURRICANE                                                                                                                                                                                                                                                12.89                                   11          NC-17      0.99                                    14.99                                   Classics
TOWN ARK                                                                                                                                                                                                                                                        49.86                                   14          R          2.99                                    17.99                                   Foreign
TRACY CIDER                                                                                                                                                                                                                                                     85.74                                   26          G          0.99                                    29.99                                   Animation
TRADING PINOCCHIO                                                                                                                                                                                                                                               147.75                                  25          PG         4.99                                    22.99                                   Sports
TRAFFIC HOBBIT                                                                                                                                                                                                                                                  24.95                                   5           G          4.99                                    13.99                                   Travel
TRAIN BUNCH                                                                                                                                                                                                                                                     24.96                                   4           R          4.99                                    26.99                                   Horror
TRAINSPOTTING STRANGERS                                                                                                                                                                                                                                         58.89                                   11          PG-13      4.99                                    10.99                                   Comedy
TRAMP OTHERS                                                                                                                                                                                                                                                    47.80                                   20          PG         0.99                                    27.99                                   Comedy
TRANSLATION SUMMER                                                                                                                                                                                                                                              33.85                                   15          PG-13      0.99                                    10.99                                   Drama
TRAP GUYS                                                                                                                                                                                                                                                       126.84                                  16          G          4.99                                    11.99                                   Foreign
TREATMENT JEKYLL                                                                                                                                                                                                                                                12.93                                   7           PG         0.99                                    19.99                                   Drama
TRIP NEWTON                                                                                                                                                                                                                                                     145.72                                  28          PG-13      4.99                                    14.99                                   Action
TROJAN TOMORROW                                                                                                                                                                                                                                                 81.80                                   19          PG         2.99                                    9.99                                    Sci-Fi
TROOPERS METAL                                                                                                                                                                                                                                                  46.86                                   14          R          0.99                                    20.99                                   New
TROUBLE DATE                                                                                                                                                                                                                                                    79.78                                   23          PG         2.99                                    13.99                                   Travel
TRUMAN CRAZY                                                                                                                                                                                                                                                    121.77                                  23          G          4.99                                    9.99                                    Action
TURN STAR                                                                                                                                                                                                                                                       70.86                                   14          G          2.99                                    10.99                                   Animation
TUXEDO MILE                                                                                                                                                                                                                                                     76.87                                   13          R          2.99                                    24.99                                   Sports
TWISTED PIRATES                                                                                                                                                                                                                                                 66.89                                   11          PG         4.99                                    23.99                                   Children
TYCOON GATHERING                                                                                                                                                                                                                                                103.88                                  12          G          4.99                                    17.99                                   Games
UNBREAKABLE KARATE                                                                                                                                                                                                                                              82.79                                   21          G          0.99                                    16.99                                   New
UNCUT SUICIDES                                                                                                                                                                                                                                                  45.86                                   14          PG-13      2.99                                    29.99                                   Music
UNDEFEATED DALMATIONS                                                                                                                                                                                                                                           114.79                                  21          PG-13      4.99                                    22.99                                   Horror
UNFAITHFUL KILL                                                                                                                                                                                                                                                 26.92                                   8           R          2.99                                    12.99                                   Drama
UNFORGIVEN ZOOLANDER                                                                                                                                                                                                                                            25.82                                   18          PG         0.99                                    15.99                                   Sci-Fi
UNITED PILOT                                                                                                                                                                                                                                                    55.83                                   17          R          0.99                                    27.99                                   Documentary
UNTOUCHABLES SUNRISE                                                                                                                                                                                                                                            35.92                                   8           NC-17      2.99                                    11.99                                   Documentary
UPRISING UPTOWN                                                                                                                                                                                                                                                 60.84                                   16          NC-17      2.99                                    16.99                                   Action
UPTOWN YOUNG                                                                                                                                                                                                                                                    38.88                                   12          PG         2.99                                    16.99                                   Children
USUAL UNTOUCHABLES                                                                                                                                                                                                                                              70.87                                   13          PG-13      4.99                                    21.99                                   Foreign
VACATION BOONDOCK                                                                                                                                                                                                                                               96.79                                   21          R          2.99                                    23.99                                   Sci-Fi
VALENTINE VANISHING                                                                                                                                                                                                                                             16.88                                   12          PG-13      0.99                                    9.99                                    Travel
VALLEY PACKER                                                                                                                                                                                                                                                   58.85                                   15          G          0.99                                    21.99                                   Comedy
VAMPIRE WHALE                                                                                                                                                                                                                                                   79.88                                   12          NC-17      4.99                                    11.99                                   New
