customer_country                                   total_rental_sales                      SalesRank
SATURDAY LAMBS                                                                                                                                                                                                                                                  204.72                                  28          G          4.99                                    28.99                                   Sports
SATURN NAME                                                                                                                                                                                                                                                     70.87                                   13          R          4.99                                    18.99                                   Comedy
SAVANNAH TOWN                                                                                                                                                                                                                                                   28.88                                   12          PG-13      0.99                                    25.99                                   Drama
SCALAWAG DUCK                                                                                                                                                                                                                                                   172.68                                  32          NC-17      4.99                                    13.99                                   Music
SCARFACE BANG                                                                                                                                                                                                                                                   120.82                                  18          PG-13      4.99                                    11.99                                   Children
SCHOOL JACKET                                                                                                                                                                                                                                                   35.94                                   6           PG-13      4.99                                    21.99                                   Foreign
SCISSORHANDS SLUMS                                                                                                                                                                                                                                              53.85                                   15          G          2.99                                    13.99                                   Foreign
SCORPION APOLLO                                                                                                                                                                                                                                                 168.77                                  23          NC-17      4.99                                    23.99                                   Drama
SEA VIRGIN                                                                                                                                                                                                                                                      97.78                                   22          PG         2.99                                    24.99                                   Drama
SEABISCUIT PUNK                                                                                                                                                                                                                                                 95.74                                   26          NC-17      2.99                                    28.99                                   Sports
SEARCHERS WAIT                                                                                                                                                                                                                                                  75.86                                   14          NC-17      2.99                                    22.99                                   Comedy
SEATTLE EXPECATIONS                                                                                                                                                                                                                                             163.75                                  24          PG-13      4.99                                    18.99                                   Drama
SECRET GROUNDHOG                                                                                                                                                                                                                                                116.79                                  21          PG         4.99                                    11.99                                   Documentary
SECRETARY ROUGE                                                                                                                                                                                                                                                 112.82                                  18          PG         4.99                                    10.99                                   Sports
SECRETS PARADISE                                                                                                                                                                                                                                                152.80                                  20          G          4.99                                    24.99                                   Family
SENSE GREEK                                                                                                                                                                                                                                                     47.93                                   7           R          4.99                                    23.99                                   Sports
SENSIBILITY REAR                                                                                                                                                                                                                                                52.90                                   10          PG         4.99                                    15.99                                   Family
SEVEN SWARM                                                                                                                                                                                                                                                     30.95                                   5           R          4.99                                    15.99                                   Games
SHAKESPEARE SADDLE                                                                                                                                                                                                                                              82.78                                   22          PG-13      2.99                                    26.99                                   Sports
SHANE DARKNESS                                                                                                                                                                                                                                                  55.86                                   14          PG         2.99                                    22.99                                   Travel
SHANGHAI TYCOON                                                                                                                                                                                                                                                 43.86                                   14          PG         2.99                                    20.99                                   Travel
SHAWSHANK BUBBLE                                                                                                                                                                                                                                                109.81                                  19          PG         4.99                                    20.99                                   Travel
SHEPHERD MIDSUMMER                                                                                                                                                                                                                                              32.75                                   25          R          0.99                                    14.99                                   Children
SHINING ROSES                                                                                                                                                                                                                                                   22.92                                   8           G          0.99                                    12.99                                   Travel
SHIP WONDERLAND                                                                                                                                                                                                                                                 47.85                                   15          R          2.99                                    15.99                                   Documentary
SHOCK CABIN                                                                                                                                                                                                                                                     99.70                                   30          PG-13      2.99                                    15.99                                   Foreign
SHOOTIST SUPERFLY                                                                                                                                                                                                                                               37.76                                   24          PG-13      0.99                                    22.99                                   Drama
SHOW LORD                                                                                                                                                                                                                                                       170.75                                  25          PG-13      4.99                                    24.99                                   Documentary
SHREK LICENSE                                                                                                                                                                                                                                                   46.85                                   15          PG-13      2.99                                    15.99                                   Foreign
SHRUNK DIVINE                                                                                                                                                                                                                                                   52.86                                   14          R          2.99                                    14.99                                   Action
SIDE ARK                                                                                                                                                                                                                                                        29.88                                   12          G          0.99                                    28.99                                   Action
SIEGE MADRE                                                                                                                                                                                                                                                     17.85                                   15          R          0.99                                    23.99                                   Family
SIERRA DIVIDE                                                                                                                                                                                                                                                   57.85                                   15          NC-17      0.99                                    12.99                                   Sports
SILENCE KANE                                                                                                                                                                                                                                                    16.84                                   16          R          0.99                                    23.99                                   Music
SILVERADO GOLDFINGER                                                                                                                                                                                                                                            91.88                                   12          PG         4.99                                    11.99                                   Sci-Fi
SIMON NORTH                                                                                                                                                                                                                                                     18.94                                   6           NC-17      0.99                                    26.99                                   Horror
SINNERS ATLANTIS                                                                                                                                                                                                                                                73.78                                   22          PG-13      2.99                                    19.99                                   Horror
SLACKER LIAISONS                                                                                                                                                                                                                                                91.83                                   17          R          4.99                                    29.99                                   Drama
SLEEPING SUSPECTS                                                                                                                                                                                                                                               131.76                                  24          PG-13      4.99                                    13.99                                   Horror
SLEEPLESS MONSOON                                                                                                                                                                                                                                               121.80                                  20          G          4.99                                    12.99                                   Animation
SLEEPY JAPANESE                                                                                                                                                                                                                                                 92.80                                   21          PG         2.99                                    25.99                                   New
SLEUTH ORIENT                                                                                                                                                                                                                                                   53.79                                   21          NC-17      0.99                                    25.99                                   Games
SLING LUKE                                                                                                                                                                                                                                                      14.94                                   6           R          0.99                                    10.99                                   Classics
SLIPPER FIDELITY                                                                                                                                                                                                                                                30.84                                   16          PG-13      0.99                                    14.99                                   Sports
SLUMS DUCK                                                                                                                                                                                                                                                      55.76                                   24          PG         0.99                                    21.99                                   Family
SMILE EARRING                                                                                                                                                                                                                                                   58.90                                   10          G          2.99                                    29.99                                   Travel
SMOKING BARBARELLA                                                                                                                                                                                                                                              18.83                                   18          PG-13      0.99                                    13.99                                   Documentary
SMOOCHY CONTROL                                                                                                                                                                                                                                                 14.88                                   12          R          0.99                                    18.99                                   Sports
SNATCH SLIPPER                                                                                                                                                                                                                                                  127.78                                  22          PG         4.99                                    15.99                                   Comedy
SNATCHERS MONTEZUMA                                                                                                                                                                                                                                             37.91                                   9           PG-13      2.99                                    14.99                                   Classics
SNOWMAN ROLLERCOASTER                                                                                                                                                                                                                                           72.77                                   23          G          0.99                                    27.99                                   Animation
SOLDIERS EVOLUTION                                                                                                                                                                                                                                              41.92                                   8           R          4.99                                    27.99                                   Sci-Fi
SOMETHING DUCK                                                                                                                                                                                                                                                  127.81                                  19          NC-17      4.99                                    17.99                                   Drama
SONG HEDWIG                                                                                                                                                                                                                                                     34.89                                   11          PG-13      0.99                                    29.99                                   Music
SONS INTERVIEW                                                                                                                                                                                                                                                  79.84                                   15          NC-17      2.99                                    11.99                                   Animation
SORORITY QUEEN                                                                                                                                                                                                                                                  19.88                                   12          NC-17      0.99                                    17.99                                   Foreign
SOUP WISDOM                                                                                                                                                                                                                                                     12.92                                   8           R          0.99                                    12.99                                   Family
SOUTH WAIT                                                                                                                                                                                                                                                      107.78                                  22          R          2.99                                    21.99                                   Action
SPARTACUS CHEAPER                                                                                                                                                                                                                                               60.91                                   9           NC-17      4.99                                    19.99                                   Family
SPEAKEASY DATE                                                                                                                                                                                                                                                  45.88                                   12          PG-13      2.99                                    22.99                                   Action
SPEED SUIT                                                                                                                                                                                                                                                      49.91                                   9           PG-13      4.99                                    19.99                                   Travel
SPICE SORORITY                                                                                                                                                                                                                                                  115.80                                  20          NC-17      4.99                                    22.99                                   Drama
SPIKING ELEMENT                                                                                                                                                                                                                                                 41.87                                   13          G          2.99                                    12.99                                   Classics
SPINAL ROCKY                                                                                                                                                                                                                                                    39.87                                   13          PG-13      2.99                                    12.99                                   Family
SPIRIT FLINTSTONES                                                                                                                                                                                                                                              15.85                                   15          R          0.99                                    23.99                                   Horror
SPIRITED CASUALTIES                                                                                                                                                                                                                                             19.89                                   11          PG-13      0.99                                    20.99                                   Sci-Fi
SPLASH GUMP                                                                                                                                                                                                                                                     33.86                                   14          PG         0.99                                    16.99                                   Family
SPLENDOR PATTON                                                                                                                                                                                                                                                 40.79                                   21          R          0.99                                    20.99                                   Children
SPOILERS HELLFIGHTERS                                                                                                                                                                                                                                           20.90                                   10          G          0.99                                    26.99                                   Documentary
SPY MILE                                                                                                                                                                                                                                                        94.73                                   27          PG-13      2.99                                    13.99                                   Games
SQUAD FISH                                                                                                                                                                                                                                                      27.93                                   7           PG         2.99                                    14.99                                   Sports
STAGE WORLD                                                                                                                                                                                                                                                     46.90                                   10          PG         2.99                                    19.99                                   Comedy
STAGECOACH ARMAGEDDON                                                                                                                                                                                                                                           154.74                                  26          R          4.99                                    25.99                                   Action
STALLION SUNDANCE                                                                                                                                                                                                                                               8.93                                    7           PG-13      0.99                                    23.99                                   Sci-Fi
STAMPEDE DISTURBING                                                                                                                                                                                                                                             32.86                                   14          R          0.99                                    26.99                                   Games
STAR OPERATION                                                                                                                                                                                                                                                  86.79                                   21          PG         2.99                                    9.99                                    Sports
STATE WASTELAND                                                                                                                                                                                                                                                 61.88                                   13          NC-17      2.99                                    13.99                                   Games
STEEL SANTA                                                                                                                                                                                                                                                     141.77                                  23          NC-17      4.99                                    15.99                                   Classics
STEERS ARMAGEDDON                                                                                                                                                                                                                                               85.85                                   15          PG         4.99                                    16.99                                   Sports
STEPMOM DREAM                                                                                                                                                                                                                                                   104.80                                  20          NC-17      4.99                                    9.99                                    Foreign
STING PERSONAL                                                                                                                                                                                                                                                  159.79                                  21          NC-17      4.99                                    9.99                                    New
STOCK GLASS                                                                                                                                                                                                                                                     45.86                                   14          PG         2.99                                    10.99                                   New
STONE FIRE                                                                                                                                                                                                                                                      39.89                                   11          G          0.99                                    19.99                                   Travel
STORM HAPPINESS                                                                                                                                                                                                                                                 46.71                                   29          NC-17      0.99                                    28.99                                   Animation
STORY SIDE                                                                                                                                                                                                                                                      39.72                                   28          R          0.99                                    27.99                                   Action
STRAIGHT HOURS                                                                                                                                                                                                                                                  57.80                                   20          R          0.99                                    19.99                                   Sports
STRANGELOVE DESIRE                                                                                                                                                                                                                                              86.76                                   24          NC-17      0.99                                    27.99                                   Children
STRANGER STRANGERS                                                                                                                                                                                                                                              75.89                                   11          G          4.99                                    12.99                                   Children
STRANGERS GRAFFITI                                                                                                                                                                                                                                              123.83                                  17          R          4.99                                    22.99                                   Horror
STREAK RIDGEMONT                                                                                                                                                                                                                                                24.84                                   16          PG-13      0.99                                    28.99                                   Documentary
STREETCAR INTENTIONS                                                                                                                                                                                                                                            148.75                                  25          R          4.99                                    11.99                                   Horror
STRICTLY SCARFACE                                                                                                                                                                                                                                               113.77                                  23          PG-13      2.99                                    24.99                                   Comedy
SUBMARINE BED                                                                                                                                                                                                                                                   88.85                                   15          R          4.99                                    21.99                                   Comedy
SUGAR WONKA                                                                                                                                                                                                                                                     105.83                                  17          PG         4.99                                    20.99                                   Animation
SUIT WALLS                                                                                                                                                                                                                                                      147.79                                  21          R          4.99                                    12.99                                   Games
SUMMER SCARFACE                                                                                                                                                                                                                                                 34.84                                   16          G          0.99                                    25.99                                   Classics
SUN CONFESSIONS                                                                                                                                                                                                                                                 53.75                                   25          R          0.99                                    9.99                                    Sci-Fi
SUNDANCE INVASION                                                                                                                                                                                                                                               41.81                                   19          NC-17      0.99                                    21.99                                   Children
SUNRISE LEAGUE                                                                                                                                                                                                                                                  170.76                                  24          PG-13      4.99                                    19.99                                   Animation
SUNSET RACER                                                                                                                                                                                                                                                    12.92                                   8           NC-17      0.99                                    28.99                                   Family
SUPER WYOMING                                                                                                                                                                                                                                                   86.87                                   13          PG         4.99                                    10.99                                   Family
SUPERFLY TRIP                                                                                                                                                                                                                                                   17.90                                   10          PG         0.99                                    27.99                                   Travel
SUSPECTS QUILLS                                                                                                                                                                                                                                                 133.70                                  30          PG         2.99                                    22.99                                   Action
SWARM GOLD                                                                                                                                                                                                                                                      71.73                                   27          PG-13      0.99                                    12.99                                   Horror
SWEDEN SHINING                                                                                                                                                                                                                                                  111.81                                  18          PG         4.99                                    19.99                                   Comedy
SWEET BROTHERHOOD                                                                                                                                                                                                                                               81.85                                   15          R          2.99                                    27.99                                   Travel
SWEETHEARTS SUSPECTS                                                                                                                                                                                                                                            98.71                                   29          G          0.99                                    13.99                                   Children
TALENTED HOMICIDE                                                                                                                                                                                                                                               39.71                                   29          PG         0.99                                    9.99                                    Sports
TARZAN VIDEOTAPE                                                                                                                                                                                                                                                40.92                                   8           PG-13      2.99                                    11.99                                   Horror
TAXI KICK                                                                                                                                                                                                                                                       34.83                                   17          PG-13      0.99                                    23.99                                   Music
TEEN APOLLO                                                                                                                                                                                                                                                     127.83                                  17          G          4.99                                    25.99                                   Travel
